"","postal_code","school_name","url_address","address","telephone_no","email_address","mrt_desc","bus_desc","dgp_code","zone_code","type_code","nature_code","session_code","mainlevel_code","sap_ind","autonomous_ind","gifted_ind","ip_ind","mothertongue1_code","mothertongue2_code","mothertongue3_code","results.SEARCHVAL","results.BLK_NO","results.ROAD_NAME","results.BUILDING","results.ADDRESS","results.X","results.Y","results.LATITUDE","results.LONGITUDE"
"1",88256,"CANTONMENT PRIMARY SCHOOL","http://www.cantonmentpri.moe.edu.sg","1    Cantonment Close","65119555","cantonment_ps@moe.edu.sg","Tanjong Pagar Outram Park","75, 167, 196","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",99138,"CHIJ ST. THERESA'S CONVENT","http://www.chijsttheresasconvent.moe.edu.sg","160  LOWER DELTA ROAD","64775777","CHIJSTCS@MOE.EDU.SG","HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855","BUKIT MERAH","SOUTH","GOVERNMENT-AIDED SCH","GIRLS' SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",99757,"CHIJ (KELLOCK)","http://www.chijkellock.moe.edu.sg/","1    Bukit Teresa Road","62730096","CHIJKS@MOE.EDU.SG","Outram Park Station","61, 124, 143, 166","BUKIT MERAH","SOUTH","GOVERNMENT-AIDED SCH","GIRLS' SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",99840,"RADIN MAS PRIMARY SCHOOL","http://www.radinmasps.moe.edu.sg","1    BUKIT PURMEI AVENUE","62733937","rmps@moe.edu.sg","Tiong Bahru MRT HarbourFront MRT","SBS 123, 131, 275 SBS 65","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",109100,"BLANGAH RISE PRIMARY SCHOOL","http://www.blangahrisepri.moe.edu.sg/","91   TELOK BLANGAH HEIGHTS","62717387","BRPS@MOE.EDU.SG","Telok Blangah, Tiong Bahru & Redhill","SBS 273 & 124","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","BLANGAH RISE PRIMARY SCHOOL","91","TELOK BLANGAH HEIGHTS","BLANGAH RISE PRIMARY SCHOOL","91 TELOK BLANGAH HEIGHTS BLANGAH RISE PRIMARY SCHOOL SINGAPORE 109100","25252.1938973861","28732.4526119996","1.27612047924037","103.808628535239"
"6",127368,"KENT RIDGE SECONDARY SCHOOL","http://www.kentridgesec.moe.edu.sg","147  WEST COAST ROAD","67731127","KRSS@MOE.EDU.SG","CLEMENTI MRT, HAW PAR VILLA MRT","30, 51, 143, 175, 176, 201, 282","CLEMENTI","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","na","KENT RIDGE SECONDARY SCHOOL","147","WEST COAST ROAD","KENT RIDGE SECONDARY SCHOOL","147 WEST COAST ROAD KENT RIDGE SECONDARY SCHOOL SINGAPORE 127368","20384.4722389057","31508.7733694967","1.30122773426098","103.764889617566"
"7",127391,"TANGLIN SECONDARY SCHOOL","http://www.tanglinsec.moe.edu.sg","301  WEST COAST ROAD","64248200","tanglin_ss@moe.edu.sg","CLEMENTI MRT","30, 51, 78, 143, 285, 655","CLEMENTI","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil","TANGLIN SECONDARY SCHOOL","301","WEST COAST ROAD","TANGLIN SECONDARY SCHOOL","301 WEST COAST ROAD TANGLIN SECONDARY SCHOOL SINGAPORE 127391","19635.3712416776","32445.8021634929","1.30970169234123","103.758158358303"
"8",128104,"QIFA PRIMARY SCHOOL","http://www.qifapri.moe.edu.sg","50   WEST COAST AVENUE","67783085","QIFA_PS@MOE.EDU.SG","Clementi MRT Station","30,51,78,143,285,655","CLEMENTI","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","AMP-MERCU STUDENT CARE CENTRE @ QIFA PRIMARY SCHOOL","50","WEST COAST AVENUE","AMP-MERCU STUDENT CARE CENTRE @ QIFA PRIMARY SCHOOL","50 WEST COAST AVENUE AMP-MERCU STUDENT CARE CENTRE @ QIFA PRIMARY SCHOOL SINGAPORE 128104","19465.1912890384","32839.9119845238","1.3132658326807","103.756629101811"
"9",128806,"NAN HUA PRIMARY SCHOOL","http://www.nanhuapri.moe.edu.sg","30   Jalan Lempeng","67788050","nhps@moe.edu.sg","Clementi MRT Station","30, 51, 143, 175, 201, 533, 655, 727, 762","CLEMENTI","WEST","GOVERNMENT-AIDED SCH","CO-ED SCHOOL","DOUBLE SESSION","PRIMARY","Yes","No","Yes","No","Chinese","na","na","NAN HUA PRIMARY SCHOOL","30","JALAN LEMPENG","NAN HUA PRIMARY SCHOOL","30 JALAN LEMPENG NAN HUA PRIMARY SCHOOL SINGAPORE 128806","19962.2298404071","33496.2443055101","1.31920159956387","103.761095065761"
"10",129857,"PEI TONG PRIMARY SCHOOL","http://www.peitongpri.moe.edu.sg/","15   CLEMENTI AVENUE 5","67775458","PTPS@MOE.EDU.SG","Clementi","7, 184, 282","CLEMENTI","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","MOE KINDERGARTEN @ PEI TONG","15","CLEMENTI AVENUE 5","MOE KINDERGARTEN @ PEI TONG","15 CLEMENTI AVENUE 5 MOE KINDERGARTEN @ PEI TONG SINGAPORE 129857","20695.3221918512","33200.6604944393","1.31652862942944","103.767682345847"
"11",129903,"CLEMENTI PRIMARY SCHOOL","http://www.clementipri.moe.edu.sg","8    CLEMENTI AVE 3","67797449","admin_clementi_ps@moe.edu.sg","Clementi MRT Station","We are just beside Clementi Bus Interchange.","CLEMENTI","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","NASCANS CLEMENTI STUDENT CARE CENTRE","8","CLEMENTI AVENUE 3","NASCANS CLEMENTI STUDENT CARE CENTRE","8 CLEMENTI AVENUE 3 NASCANS CLEMENTI STUDENT CARE CENTRE SINGAPORE 129903","20170.5088003157","33037.9840960354","1.31505731320501","103.762966674996"
"12",129904,"CLEMENTI TOWN SECONDARY SCHOOL","http://www.clementitownsec.moe.edu.sg","10   CLEMENTI AVE 3","67777362","ctss@moe.edu.sg","CLEMENTI MRT","14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99","CLEMENTI","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil","CLEMENTI TOWN SECONDARY SCHOOL","10","CLEMENTI AVENUE 3","CLEMENTI TOWN SECONDARY SCHOOL","10 CLEMENTI AVENUE 3 CLEMENTI TOWN SECONDARY SCHOOL SINGAPORE 129904","20065.2210438633","33091.2638894655","1.31553912945073","103.762020598524"
"13",129956,"NAN HUA HIGH SCHOOL","http://www.nanhuahigh.moe.edu.sg","41   CLEMENTI AVENUE 1","67788303","nhhs@moe.edu.sg","CLEMENTI MRT","14, 33, 52, 78, 96, 97, 105, 106, 147, 151, 154, 165, 166, 183, 185, 188, 189, 196, 197, 198, 282, 285, 963","CLEMENTI","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","Yes","Yes","No","No","Chinese","na","na","NAN HUA HIGH SCHOOL","41","CLEMENTI AVENUE 1","NAN HUA HIGH SCHOOL","41 CLEMENTI AVENUE 1 NAN HUA HIGH SCHOOL SINGAPORE 129956","20793.1335141817","32268.1425985936","1.30809529518605","103.768561446725"
"14",129957,"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","www.nushigh.edu.sg","20   Clementi Avenue 1","65161709","einstein@highsch.nus.edu.sg","Nearest MRT Stations - Clementi and Dover","96, 97, 151, 183, 188, 189, 196, 197, 198","CLEMENTI","WEST","SPECIALISED INDEPENDENT SCHOOL","CO-ED SCHOOL","FULL DAY","MIXED LEVELS","No","No","No","Yes","Chinese","Malay","Tamil","NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","20","CLEMENTI AVENUE 1","NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","20 CLEMENTI AVENUE 1 NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE SINGAPORE 129957","20882.5747099025","32098.8705946617","1.30656448055686","103.769365156929"
"15",138572,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE","http://www.sst.edu.sg","1    Technology Drive","(65) 65717200","contactus@sst.edu.sg","Dover","14, 74, 105, 106, 147, 166, 185","CLEMENTI","WEST","SPECIALISED INDEPENDENT SCHOOL","CO-ED SCHOOL","FULL DAY","SECONDARY","No","No","No","No","Chinese","Malay","Tamil","SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE","1","TECHNOLOGY DRIVE","SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE","1 TECHNOLOGY DRIVE SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE SINGAPORE 138572","21399.6898937989","32802.5152550135","1.31292810600277","103.774011529322"
"16",139648,"FAIRFIELD METHODIST SCHOOL (PRIMARY)","http://www.fmsp.moe.edu.sg/","100  DOVER ROAD","67788431","fmsp@moe.edu.sg","One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196","QUEENSTOWN","SOUTH","GOVERNMENT-AIDED SCH","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","FAIRFIELD METHODIST SCHOOL (PRIMARY)","100","DOVER ROAD","FAIRFIELD METHODIST SCHOOL (PRIMARY)","100 DOVER ROAD FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648","22671.3515878748","31432.7656800412","1.30054082453424","103.785438270044"
"17",139649,"FAIRFIELD METHODIST SCHOOL (SECONDARY)","http://www.fairfieldmethodistsec.moe.edu.sg","102  DOVER ROAD","67788702","FMSS@MOE.EDU.SG","BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196","QUEENSTOWN","SOUTH","GOVERNMENT-AIDED SCH","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","Yes","No","No","Chinese","Malay","Tamil","FAIRFIELD METHODIST SCHOOL (SECONDARY)","102","DOVER ROAD","FAIRFIELD METHODIST SCHOOL (SECONDARY)","102 DOVER ROAD FAIRFIELD METHODIST SCHOOL (SECONDARY) SINGAPORE 139649","22522.3772030193","31553.6179904211","1.30163374395823","103.784099647149"
"18",139650,"ANGLO-CHINESE SCHOOL (INDEPENDENT)","http://www.acsindep.moe.edu.sg","121  DOVER ROAD","67731633","ACIS@MOE.EDU.SG","DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196","QUEENSTOWN","SOUTH","INDEPENDENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","MIXED LEVELS","No","No","Yes","Yes","Chinese","Malay","Tamil","LIVING WATERS METHODIST CHURCH","121","DOVER ROAD","LIVING WATERS METHODIST CHURCH","121 DOVER ROAD LIVING WATERS METHODIST CHURCH SINGAPORE 139650","22081.8306045849","31577.7673617657","1.30185206138005","103.780141132126"
"19",139657,"NEW TOWN SECONDARY SCHOOL","http://www.newtownsec.moe.edu.sg","1020 DOVER ROAD","67754140","ntss@moe.edu.sg","DOVER MRT, CLEMENTI MRT","33, 96, 96A, 151, 196, 183","QUEENSTOWN","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil","NEW TOWN SECONDARY SCHOOL","1020","DOVER ROAD","NEW TOWN SECONDARY SCHOOL","1020 DOVER ROAD NEW TOWN SECONDARY SCHOOL SINGAPORE 139657","21308.1010938296","32453.9625329748","1.30977590011357","103.77318863421"
"20",139745,"ANGLO-CHINESE JUNIOR COLLEGE","http://www.acjc.edu.sg","25   DOVER CLOSE EAST","67750511","acjc@acjc.edu.sg","Buona Vista","74,95,100,105,106,111,145,147,191,196,198,602","QUEENSTOWN","WEST","GOVERNMENT-AIDED SCH","CO-ED SCHOOL","FULL DAY","JUNIOR COLLEGE","No","No","No","No","na","na","na","ANGLO-CHINESE JUNIOR COLLEGE","25","DOVER CLOSE EAST","ANGLO-CHINESE JUNIOR COLLEGE","25 DOVER CLOSE EAST ANGLO-CHINESE JUNIOR COLLEGE SINGAPORE 139745","22662.4720813679","31709.3940755054","1.30304255193392","103.785358436408"
"21",148800,"QUEENSTOWN SECONDARY SCHOOL","http://www.queenstownsec.moe.edu.sg","1    STRATHMORE ROAD","64741055","qtss@moe.edu.sg","REDHILL MRT, QUEENSTOWN MRT","33, 51, 64, 111, 120, 139, 145, 186, 970","QUEENSTOWN","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil","QUEENSTOWN SECONDARY SCHOOL","1","STRATHMORE ROAD","QUEENSTOWN SECONDARY SCHOOL","1 STRATHMORE ROAD QUEENSTOWN SECONDARY SCHOOL SINGAPORE 148800","25759.9730125098","30656.5376077667","1.29352126774652","103.813190980055"
"22",148812,"NEW TOWN PRIMARY SCHOOL","http://www.newtownpri.moe.edu.sg/","300  Tanglin Halt Road","64748805","NTPS@MOE.EDU.SG","Commonwealth MRT Station","SBS Numbers 32, 100, 105, 111, 145, 147, 195, 196, 198, 855","QUEENSTOWN","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","NEW TOWN CAREHUT","300","TANGLIN HALT ROAD","NEW TOWN CAREHUT","300 TANGLIN HALT ROAD NEW TOWN CAREHUT SINGAPORE 148812","24288.0252855225","31352.0824043378","1.29981138884057","103.799964819895"
"23",149295,"QUEENSWAY SECONDARY SCHOOL","http://www.queenswaysec.moe.edu.sg","2A   MARGARET DRIVE","64741421","QSS@moe.edu.sg","COMMONWEALTH MRT, QUEENSTOWN MRT","32, 51, 93, 100, 105, 111, 122, 123, 145, 147, 153, 186, 195, 196, 198, 855, 961, 970","QUEENSTOWN","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil","QUEENSWAY SECONDARY SCHOOL","2A","MARGARET DRIVE","QUEENSWAY SECONDARY SCHOOL","2A MARGARET DRIVE QUEENSWAY SECONDARY SCHOOL SINGAPORE 149295","24537.5928928228","31397.561654076","1.30022271592188","103.802207291625"
"24",149303,"QUEENSTOWN PRIMARY SCHOOL","http://www.queenstownpri.moe.edu.sg","310  MARGARET DR","64741044","qtps@moe.edu.sg","Queenstown MRT","32, 111, 145, 195","QUEENSTOWN","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","QUEENSTOWN CAREHUT","310","MARGARET DRIVE","QUEENSTOWN CAREHUT","310 MARGARET DRIVE QUEENSTOWN CAREHUT SINGAPORE 149303","25143.1426198389","30878.5540552996","1.29552905587752","103.807648475656"
"25",158901,"GAN ENG SENG PRIMARY SCHOOL","http://www.ganengsengpri.moe.edu.sg","100  REDHILL CLOSE","64717451","gesps@moe.edu.sg","Redhill","14, 63, 147, 196, 197, 855, 961","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","GAN ENG SENG PRIMARY SCHOOL","100","REDHILL CLOSE","GAN ENG SENG PRIMARY SCHOOL","100 REDHILL CLOSE GAN ENG SENG PRIMARY SCHOOL SINGAPORE 158901","26022.2170935348","29780.10807156","1.28559516494962","103.815547410064"
"26",159016,"ALEXANDRA PRIMARY SCHOOL","http://alexandrapri.moe.edu.sg","2A   Prince Charles Crescent","62485400","alexandra_ps@moe.edu.sg","Redhill Station  Tiong Bahru Station","51, 122, 139, 186, 970.","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","MOE KINDERGARTEN @ ALEXANDRA","2A","PRINCE CHARLES CRESCENT","MOE KINDERGARTEN @ ALEXANDRA","2A PRINCE CHARLES CRESCENT MOE KINDERGARTEN @ ALEXANDRA SINGAPORE 159016","26964.858994307","30396.5014853496","1.29116965570463","103.824017403629"
"27",159050,"BUKIT MERAH SECONDARY SCHOOL","http://www.bukitmerahsec.moe.edu.sg","10   LENGKOK BAHRU","64748934","bmss@moe.edu.sg","REDHILL MRT","14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil","BUKIT MERAH SECONDARY SCHOOL","10","LENGKOK BAHRU","BUKIT MERAH SECONDARY SCHOOL","10 LENGKOK BAHRU BUKIT MERAH SECONDARY SCHOOL SINGAPORE 159050","25787.5608570725","29790.9091712814","1.28569283064288","103.813438929393"
"28",159561,"GAN ENG SENG SCHOOL","http://www.ganengsengsch.moe.edu.sg","1    HENDERSON ROAD","64745594","GESS@MOE.EDU.SG","REDHILL MRT, TIONG BAHRU MRT","14, 16, 32, 33, 51, 63, 64, 120, 122, 145, 139, 186, 851, 970","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil","GAN ENG SENG SCHOOL","1","HENDERSON ROAD","GAN ENG SENG SCHOOL","1 HENDERSON ROAD GAN ENG SENG SCHOOL SINGAPORE 159561","26933.2813452026","30164.4591011573","1.28907114485773","103.823733673089"
"29",168622,"OUTRAM SECONDARY SCHOOL","http://www.outramsec.moe.edu.sg","3    YORK HILL","67334077","OSS@MOE.EDU.SG","OUTRAM PARK MRT, CHINATOWN MRT","174 , 123, 16, 175, 195, 33, 5, 63, 75, 851, 970, 123, 186, 51, 64","CENTRAL","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","SECONDARY","No","No","No","No","Chinese","Malay","Tamil","OUTRAM SECONDARY SCHOOL","3","YORK HILL","OUTRAM SECONDARY SCHOOL","3 YORK HILL OUTRAM SECONDARY SCHOOL SINGAPORE 168622","28423.8747252515","29881.6544933487","1.28651357464735","103.837127264403"
"30",169485,"ZHANGDE PRIMARY SCHOOL","http://www.zhangdepri.moe.edu.sg/","51   Jalan Membina","62740357","ZHANGDE_PS@MOE.EDU.SG","Tiong Bahru MRT Station","16,33,63,123,195,605,851,14,65,147,167,196,197,961","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","YMCA STUDENT CARE CENTRE @ ZHANGDE","51","JALAN MEMBINA","YMCA STUDENT CARE CENTRE @ ZHANGDE","51 JALAN MEMBINA YMCA STUDENT CARE CENTRE @ ZHANGDE SINGAPORE 169485","27180.147898172","29627.1081054062","1.28421153855474","103.825951884637"
"31",198423,"STAMFORD PRIMARY SCHOOL","http://www.stamfordpri.moe.edu.sg","1    VICTORIA LANE","62945074","STAMFORD_PS@MOE.EDU.SG","Bugis MRT Station, Jalan Besar MRT Station","Along Victoria Street:2,7,12,32,33, 51, 61,63,80,130,133,145, 175, 197","CENTRAL","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","STAMFORD CAREHUT","1","VICTORIA LANE","STAMFORD CAREHUT","1 VICTORIA LANE STAMFORD CAREHUT SINGAPORE 198423","30630.5325063402","31799.7003907356","1.30385959862559","103.856955133139"
"32",217567,"FARRER PARK PRIMARY SCHOOL","http://www.farrerparkpri.moe.edu.sg","2    FARRER PARK ROAD","62952272","fpps@moe.edu.sg","Farrer Park MRT Station","131","KALLANG","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","MOE KINDERGARTEN @ FARRER PARK","2","FARRER PARK ROAD","MOE KINDERGARTEN @ FARRER PARK","2 FARRER PARK ROAD MOE KINDERGARTEN @ FARRER PARK SINGAPORE 217567","29917.0852870485","32693.1287898142","1.31193950204473","103.850544534433"
"33",227968,"SCHOOL OF THE ARTS, SINGAPORE","http://www.sota.edu.sg/","1    Zubir Said Drive","6338 9663","enquiries@sota.edu.sg","Dhoby Ghaut","7, 14, 16, 36, 64, 65, 77, 106, 111, 124, 128, 131, 147, 162, 166, 167, 171, 174, 175, 190, 502, 518, 700, 857,","CENTRAL","SOUTH","SPECIALISED INDEPENDENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","MIXED LEVELS","No","No","No","No","Chinese","Malay","Tamil","SCHOOL OF THE ARTS (SOTA)","1","ZUBIR SAID DRIVE","SCHOOL OF THE ARTS (SOTA)","1 ZUBIR SAID DRIVE SCHOOL OF THE ARTS (SOTA) SINGAPORE 227968","29710.4144953834","31302.6820281129","1.29936480411316","103.848687419363"
"34",227988,"ANGLO-CHINESE SCHOOL (JUNIOR)","www.acsj.moe.edu.sg","16   WINSTEDT ROAD","67337911","acjs@moe.edu.sg","Newton MRT Station","5, 54, 124, 143, 162, 162M, 167, 167e, 518, 518A, 972M","CENTRAL","SOUTH","GOVERNMENT-AIDED SCH","BOYS' SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","EPWORTH STUDENT CARE (ANGLO-CHINESE SCHOOL JUNIOR)","16","WINSTEDT ROAD","EPWORTH STUDENT CARE (ANGLO-CHINESE SCHOOL JUNIOR)","16 WINSTEDT ROAD EPWORTH STUDENT CARE (ANGLO-CHINESE SCHOOL JUNIOR) SINGAPORE 227988","28916.3166898089","32403.7520947009","1.30932252730174","103.841552127373"
"35",237993,"RIVER VALLEY PRIMARY SCHOOL","http://www.rivervalleypri.moe.edu.sg","2    RIVER VALLEY GREEN","67371785","rvps@moe.edu.sg","Somerset MRT","5, 16, 32, 54, 65, 75, 175, 970","CENTRAL","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil","AFTERSCHOOL @ RIVER VALLEY PRIMARY SCHOOL","2","RIVER VALLEY GREEN","AFTERSCHOOL @ RIVER VALLEY PRIMARY SCHOOL","2 RIVER VALLEY GREEN AFTERSCHOOL @ RIVER VALLEY PRIMARY SCHOOL SINGAPORE 237993","28300.5267893467","30729.7527125087","1.29418347842837","103.836018941571"
